sample_N,scenario,structure,estimator,outer_opt,parameter,param_class,true_value,n_used,MedRE_pct,MeanRE_pct,MARE_pct,RMRSE_pct,P90AbsRE_pct
40,1,linCmt,focei,bobyqa,TVCL,structural_intercept,0.6,100,1.142566401455658,0.7668928253704188,3.818946706990752,5.322479164026392,8.823756369366507
40,1,linCmt,focei,bobyqa,TVVc,structural_intercept,20,100,1.639655114020222,1.8161197515847696,4.381315125246887,6.922100107444122,11.0495154117266
40,1,linCmt,focei,bobyqa,ResErr,structural_other,0.1,100,0.8639738565635047,1.833277331748409,4.653121463862972,7.604983219992713,12.518696019553849
40,1,linCmt,focei,bobyqa,TVKA,structural_other,0.7,100,0,4.758098676964956e-15,0,1.5046429151043004e-14,4.758098676965362e-15
40,1,linCmt,focei,bobyqa,TVQ,structural_other,1.8,100,2.4308795749828116,2.391930216693229,2.5565499125493947,3.105760812795914,4.73865490790276
40,1,linCmt,focei,bobyqa,TVVp,structural_other,80,100,0.7853780388875454,0.8177424594827435,1.2749909701878082,1.9278798237375352,2.8489808731827186
40,1,linCmt,focei,bobyqa,cov_VcCL,structural_other,0.02,100,-11.51621877007643,-8.15348117541764,44.16263881751566,62.75506075274833,98.20691494303743
40,1,linCmt,focei,bobyqa,var_CL,structural_other,0.1,100,-5.279339810094,-3.654446166215065,14.948996004053273,23.46065884695048,37.96139253238616
40,1,linCmt,focei,bobyqa,var_Vc,structural_other,0.1,100,-15.189578358399547,-14.416288353503232,26.2853101360094,37.679641626137176,66.64144725426195
40,1,ode,focei,bobyqa,TVCL,structural_intercept,0.6,100,1.0656158942266385,0.7339127210437499,3.845233003769757,5.318691024819506,8.713941633547263
40,1,ode,focei,bobyqa,TVVc,structural_intercept,20,100,1.589844298915466,1.687787933080316,4.3935371750557906,6.76234648761616,10.975273303400476
40,1,ode,focei,bobyqa,ResErr,structural_other,0.1,100,0.8556141895619609,1.6853595638533263,4.560402572585241,7.449836716393164,12.562128395793914
40,1,ode,focei,bobyqa,TVKA,structural_other,0.7,100,0,4.282288809268461e-15,0,1.4274296030894868e-14,0
40,1,ode,focei,bobyqa,TVQ,structural_other,1.8,100,2.3835591206527513,2.3603993032453356,2.5100280142686517,3.078575798553336,4.700695977179606
40,1,ode,focei,bobyqa,TVVp,structural_other,80,100,0.7708565667314194,0.799077088202386,1.276852269787101,1.9168795106889034,2.8049523944330415
40,1,ode,focei,bobyqa,cov_VcCL,structural_other,0.02,100,-11.060422552574451,-10.789576405016229,40.99674063820141,62.45985378314581,99.47334227423727
40,1,ode,focei,bobyqa,var_CL,structural_other,0.1,100,-5.562681467140187,-3.66750294583124,15.307667115132674,23.555783628510916,38.09969712234161
40,1,ode,focei,bobyqa,var_Vc,structural_other,0.1,100,-14.14577277544339,-13.207290100058502,25.674947257549807,36.75835186765985,63.92969847511756
40,2,linCmt,focei,bobyqa,VcSEX,covariate_beta,0.4054651081081644,82,11.561821560380105,12.609496246983987,16.84113684911126,26.772320057236072,45.57130393489429
40,2,linCmt,focei,bobyqa,TVCL,structural_intercept,0.6,100,1.4647144716862146,1.0257100626073374,3.5384542012145235,5.222156162598084,8.397671986489991
40,2,linCmt,focei,bobyqa,TVVc,structural_intercept,20,100,2.4889434159481993,3.5531776535543513,6.995382761168837,11.93363099694309,20.430916000838856
40,2,linCmt,focei,bobyqa,ResErr,structural_other,0.1,100,-1.3220418145404103,-1.6395215163655996,5.154628288120862,7.020019157920664,11.417553689976323
40,2,linCmt,focei,bobyqa,TVKA,structural_other,0.7,100,4.7580986769649564e-14,4.044383875420213e-14,4.7580986769649564e-14,4.3867502284464885e-14,4.7580986769649564e-14
40,2,linCmt,focei,bobyqa,TVQ,structural_other,1.8,100,1.388072217538684,1.4943207089187378,1.713248554622028,2.9929324556124204,4.842651633312529
40,2,linCmt,focei,bobyqa,TVVp,structural_other,80,100,0.03331831107858286,0.11367453705442045,0.9303873433017261,1.6328426891962022,2.8078089921799267
40,2,linCmt,focei,bobyqa,cov_VcCL,structural_other,0.02,100,-8.2981997947965,-8.47517469408513,41.285955462248694,62.52805647975339,113.1158193675452
40,2,linCmt,focei,bobyqa,var_CL,structural_other,0.1,100,-7.811512082377236,-6.100709325782423,18.496925092155276,23.107891316007542,34.484237270848546
40,2,linCmt,focei,bobyqa,var_Vc,structural_other,0.1,100,-14.575895681311499,-8.216915463520328,30.89489034130389,38.799368858838754,55.37913853343471
40,2,ode,focei,bobyqa,VcSEX,covariate_beta,0.4054651081081644,82,11.441803601636261,12.55742723331358,16.90583942758705,26.672165816966263,45.33175535645548
40,2,ode,focei,bobyqa,TVCL,structural_intercept,0.6,100,1.4506457680879272,0.999477112140019,3.514806332124615,5.212368802029365,8.388901427904
40,2,ode,focei,bobyqa,TVVc,structural_intercept,20,100,2.5460588092723406,3.5384938200335454,7.047494743071611,11.91419875202107,20.386977489222303
40,2,ode,focei,bobyqa,ResErr,structural_other,0.1,100,-1.4445934414667323,-1.7064024650947707,5.107593805706051,7.0321085379398856,11.405321796009368
40,2,ode,focei,bobyqa,TVKA,structural_other,0.7,100,4.7580986769649564e-14,4.044383875420213e-14,4.7580986769649564e-14,4.3867502284464885e-14,4.7580986769649564e-14
40,2,ode,focei,bobyqa,TVQ,structural_other,1.8,100,1.387813060548082,1.4667515632588182,1.6935373871129384,2.9834344933493337,4.817836220341242
40,2,ode,focei,bobyqa,TVVp,structural_other,80,100,0.02639546726513231,0.10484652143361792,0.9214848123641418,1.6307567855030045,2.8136284534639273
40,2,ode,focei,bobyqa,cov_VcCL,structural_other,0.02,100,-9.027691083631252,-10.182712286766245,39.98093493486575,61.75016404338229,114.83398779617406
40,2,ode,focei,bobyqa,var_CL,structural_other,0.1,100,-8.012668994058787,-6.19300663207124,18.08677230903407,23.088716154684437,34.397213932520586
40,2,ode,focei,bobyqa,var_Vc,structural_other,0.1,100,-12.982368128159038,-7.705851246182788,30.895849502224465,38.474778939993165,54.92973398629712
40,3,linCmt,focei,bobyqa,VcBW,covariate_beta,1,51,8.125607544318836,15.69184675012323,15.898156981928423,36.99002935662534,44.77069597822199
40,3,linCmt,focei,bobyqa,TVCL,structural_intercept,0.6,100,-0.4458888409642111,-0.020739900296333397,3.337837293596185,6.279145837691896,10.462468582576523
40,3,linCmt,focei,bobyqa,TVVc,structural_intercept,20,100,1.732599026358157,0.9870544725814409,6.38314841631508,9.492274174038338,14.3164169273446
40,3,linCmt,focei,bobyqa,ResErr,structural_other,0.1,100,-0.6968665244775838,-0.1451486627226789,4.734924519326237,6.772504980047966,11.342842884922058
40,3,linCmt,focei,bobyqa,TVKA,structural_other,0.7,100,4.7580986769649564e-14,4.6153557166560074e-14,4.7580986769649564e-14,4.686183727634204e-14,4.7580986769649564e-14
40,3,linCmt,focei,bobyqa,TVQ,structural_other,1.8,100,1.373662523085992,1.7848082721389074,1.493840392367354,3.0636821614084635,5.075572174541842
40,3,linCmt,focei,bobyqa,TVVp,structural_other,80,100,0.3693128097146836,0.4419006464708924,1.174453246018361,1.8759863900140388,3.3818333729704304
40,3,linCmt,focei,bobyqa,cov_VcCL,structural_other,0.02,100,-7.858959209027004,-7.271871940548524,41.901269467608216,61.55717643402055,92.65394775723983
40,3,linCmt,focei,bobyqa,var_CL,structural_other,0.1,100,-6.178685710549317,-4.420757526382245,14.554405069739165,21.89881935490641,35.220545846299736
40,3,linCmt,focei,bobyqa,var_Vc,structural_other,0.1,100,-13.499030652866464,-13.323519860197273,22.931138327311274,34.04147710457544,53.54581897136315
40,3,ode,focei,bobyqa,VcBW,covariate_beta,1,56,7.349791885854495,13.393000535684326,17.08428600519471,34.90129321972287,42.76889682679246
40,3,ode,focei,bobyqa,TVCL,structural_intercept,0.6,100,-0.4515468911417501,-0.08446492611223139,3.3366499099883136,6.252900552251692,10.469099254455266
40,3,ode,focei,bobyqa,TVVc,structural_intercept,20,100,1.8101182349818945,1.0996148308739917,6.174557610483795,9.408653830390945,14.309206129855081
40,3,ode,focei,bobyqa,ResErr,structural_other,0.1,100,-0.8614206747754177,-0.20522459973610477,4.652800880488299,6.7760031747860685,11.230016834635045
40,3,ode,focei,bobyqa,TVKA,structural_other,0.7,100,4.7580986769649564e-14,4.6153557166560074e-14,4.7580986769649564e-14,4.686183727634204e-14,4.7580986769649564e-14
40,3,ode,focei,bobyqa,TVQ,structural_other,1.8,100,1.4117141729760925,1.7647453074424007,1.4901379769810725,3.0495617758255755,5.076027007923618
40,3,ode,focei,bobyqa,TVVp,structural_other,80,100,0.36635946217056237,0.4358826955105739,1.1466822667991217,1.8754326426934105,3.393186205222863
40,3,ode,focei,bobyqa,cov_VcCL,structural_other,0.02,100,-12.030844142935093,-8.481697742229057,42.5531618604271,60.80667876907329,90.17739062386714
40,3,ode,focei,bobyqa,var_CL,structural_other,0.1,100,-6.395544366597762,-4.3554401396675475,14.734187844120317,21.95640937256132,35.1936351070327
40,3,ode,focei,bobyqa,var_Vc,structural_other,0.1,100,-13.068355215665726,-13.014676641142614,23.60624254226962,33.835515405509334,52.53245015406516
40,4,linCmt,focei,bobyqa,VcBW,covariate_beta,1,68,2.1979696617250855,20.679445839417358,13.359356843359722,57.41029182443198,66.68255196237007
40,4,linCmt,focei,bobyqa,VcSEX,covariate_beta,0.4054651081081644,75,19.388947801705555,18.679302650816073,24.028687323210125,33.75611199616297,56.13578187685959
40,4,linCmt,focei,bobyqa,TVCL,structural_intercept,0.6,100,0.9142176088186109,1.4958656951225615,3.214570467759359,5.499740674855913,8.399548750010178
40,4,linCmt,focei,bobyqa,TVVc,structural_intercept,20,100,2.061731805725682,3.3924758070461447,8.734967778210034,12.243782920669952,19.110165955799072
40,4,linCmt,focei,bobyqa,ResErr,structural_other,0.1,100,-1.3139548043670235,-1.5176775949262695,4.361331062582005,6.823312517451714,11.381723728212155
40,4,linCmt,focei,bobyqa,TVKA,structural_other,0.7,100,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14
40,4,linCmt,focei,bobyqa,TVQ,structural_other,1.8,100,1.5725689475625124,1.5583686702865882,1.9451583560930277,2.83685951973566,4.85026292606916
40,4,linCmt,focei,bobyqa,TVVp,structural_other,80,100,-0.050019826396354716,0.30660389046642783,1.3689985655120207,1.8445029628269765,3.051388281632296
40,4,linCmt,focei,bobyqa,cov_VcCL,structural_other,0.02,100,-6.56733712790728,-11.567292073442253,41.033006132840995,62.95165214035555,94.7673451870716
40,4,linCmt,focei,bobyqa,var_CL,structural_other,0.1,100,-8.259594377171338,-5.386991584618835,19.493260861511786,23.309794021018657,36.37293464988828
40,4,linCmt,focei,bobyqa,var_Vc,structural_other,0.1,100,-8.55690578075722,-7.862132884877473,26.95160613521018,35.10468774118243,57.66684875131644
40,4,ode,focei,bobyqa,VcBW,covariate_beta,1,69,2.4366905258039973,20.09514816969796,13.380659064504318,54.90616497309452,65.97476259506033
40,4,ode,focei,bobyqa,VcSEX,covariate_beta,0.4054651081081644,74,19.862938811521797,19.539010057619418,24.364156486977457,33.82589029611869,56.84757175217901
40,4,ode,focei,bobyqa,TVCL,structural_intercept,0.6,100,0.8830733463517093,1.3825116839625111,3.229043817493218,5.677328844180806,9.115831170622691
40,4,ode,focei,bobyqa,TVVc,structural_intercept,20,100,3.3118571091898112,3.602582274724691,8.913047439419772,12.127515996236477,19.066664445549442
40,4,ode,focei,bobyqa,ResErr,structural_other,0.1,100,-1.2485684505849706,-1.54873711983091,4.381563503195553,6.816826203474068,11.363500706463
40,4,ode,focei,bobyqa,TVKA,structural_other,0.7,100,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14,4.7580986769649564e-14
40,4,ode,focei,bobyqa,TVQ,structural_other,1.8,100,1.56111395198648,1.5439367654440712,1.9644769439072292,2.8324982528974743,4.817107048109687
40,4,ode,focei,bobyqa,TVVp,structural_other,80,100,-0.06737486822196104,0.30293822677164284,1.3710766254457418,1.8463825805233192,3.073776135260785
40,4,ode,focei,bobyqa,cov_VcCL,structural_other,0.02,100,-6.175229766850815,-11.20274580295881,37.42191187733045,62.782759901529396,93.4852241558035
40,4,ode,focei,bobyqa,var_CL,structural_other,0.1,100,-8.246176727659579,-5.531021152144645,19.265949772254597,23.363596016279494,36.4237100096128
40,4,ode,focei,bobyqa,var_Vc,structural_other,0.1,100,-7.8356235167832615,-7.197735375676063,26.31948584688854,36.21291599397162,57.33069788748782
40,5,linCmt,focei,bobyqa,CLcrCL,covariate_beta,0.5,65,-2.7604303151110066,1.2598193890655167,16.058192296160755,19.143804171999403,31.09706437852938
40,5,linCmt,focei,bobyqa,TVCL,structural_intercept,0.6,100,0.28068636085013904,0.2780457451078678,3.1496311147908114,5.271938411767614,8.837292165780514
40,5,linCmt,focei,bobyqa,TVVc,structural_intercept,20,100,2.80071718290424,2.4488514720320116,4.213403343398587,6.741445143085474,10.915289000878445
40,5,linCmt,focei,bobyqa,ResErr,structural_other,0.1,100,0.2780436411135706,0.26414160860195,4.3121959275380375,6.6471813278784975,11.06739323640781
40,5,linCmt,focei,bobyqa,TVKA,structural_other,0.7,100,4.7580986769649564e-14,4.3298697960381105e-14,4.7580986769649564e-14,4.538936852166976e-14,4.7580986769649564e-14
40,5,linCmt,focei,bobyqa,TVQ,structural_other,1.8,100,1.5589590686129442,1.793697745963907,1.6412648334993993,2.6443333284184423,4.7227479443277955
40,5,linCmt,focei,bobyqa,TVVp,structural_other,80,100,0.45486958183187376,0.3377923899089302,0.9792738244895284,1.4423379540315175,2.2187909865662503
40,5,linCmt,focei,bobyqa,cov_VcCL,structural_other,0.02,100,3.3902369186551358,1.967280428973438,54.06562299415736,64.11812559359265,102.77711389165118
40,5,linCmt,focei,bobyqa,var_CL,structural_other,0.1,100,-9.672641385675751,-7.347065864318357,18.633153163483442,25.2026733759102,41.36469859362442
40,5,linCmt,focei,bobyqa,var_Vc,structural_other,0.1,100,-9.3829886353856,-8.602467005433748,25.81708106759256,39.78735292818726,67.29556203280302
40,5,ode,focei,bobyqa,CLcrCL,covariate_beta,0.5,62,-1.9802005844142823,1.9956521551598982,15.851813366790568,19.13493831651746,30.87166087069722
40,5,ode,focei,bobyqa,TVCL,structural_intercept,0.6,100,0.08053719265130323,0.17259560039985747,3.2027445797500707,5.23050264110354,8.844000230386198
40,5,ode,focei,bobyqa,TVVc,structural_intercept,20,100,2.7478871156333717,2.4940745762754126,4.215272318918197,6.779617730032444,10.88197340774861
40,5,ode,focei,bobyqa,ResErr,structural_other,0.1,100,0.40385323269923057,0.07926506258227939,4.426061951008288,6.454672705361977,11.032220764038769
40,5,ode,focei,bobyqa,TVKA,structural_other,0.7,100,4.7580986769649564e-14,4.3298697960381105e-14,4.7580986769649564e-14,4.538936852166976e-14,4.7580986769649564e-14
40,5,ode,focei,bobyqa,TVQ,structural_other,1.8,100,1.5621080653011474,1.7507376886943433,1.629440801066695,2.6133863713233105,4.67793431157395
40,5,ode,focei,bobyqa,TVVp,structural_other,80,100,0.4415232717971928,0.3197857240800294,0.9784834678626629,1.4350357849159237,2.2296777499707767
40,5,ode,focei,bobyqa,cov_VcCL,structural_other,0.02,100,2.845642671511321,-0.51225932245186645,51.57581896367077,61.157560471394476,100.08896816057282
40,5,ode,focei,bobyqa,var_CL,structural_other,0.1,100,-9.176908218120158,-7.367042749530631,18.31520065537147,25.105292754483578,41.67862376406145
40,5,ode,focei,bobyqa,var_Vc,structural_other,0.1,100,-8.183185081529466,-7.586108539784572,25.01622638642793,39.0178583224154,65.50333746249827
40,6,linCmt,focei,bobyqa,CLcrCL,covariate_beta,0.5,69,6.909507094254019,8.929176656545899,14.295650665099014,23.877836721416802,41.58452484950767
40,6,linCmt,focei,bobyqa,VcSEX,covariate_beta,0.4054651081081644,78,10.616352793530442,13.021739584285447,17.294511017656568,29.1893569715863,47.10281379214517
40,6,linCmt,focei,bobyqa,TVCL,structural_intercept,0.6,100,-0.3605420786801187,0.08959904128518216,4.097111410545261,6.043334340817983,8.998126423743678
40,6,linCmt,focei,bobyqa,TVVc,structural_intercept,20,100,1.4699805022147938,3.6972251063709676,7.105219753796136,13.972707698629506,23.69913508931119
40,6,linCmt,focei,bobyqa,ResErr,structural_other,0.1,100,0.25462660388157754,0.11044559257146953,4.2197796144798145,6.185507985264809,9.76674863159921
40,6,linCmt,focei,bobyqa,TVKA,structural_other,0.7,100,4.7580986769649564e-14,4.710517690195307e-14,4.7580986769649564e-14,4.734248408093761e-14,4.7580986769649564e-14
40,6,linCmt,focei,bobyqa,TVQ,structural_other,1.8,100,1.3025911138767485,1.5188498688736214,1.897810325911711,2.8717174961489076,4.693077879331032
40,6,linCmt,focei,bobyqa,TVVp,structural_other,80,100,0.5995151499588579,0.5444943991770606,1.2818993331533157,1.8261137292666036,2.849835119157663
40,6,linCmt,focei,bobyqa,cov_VcCL,structural_other,0.02,100,-9.689132495939246,-6.596957863615234,41.042733173083825,69.81022744374748,103.52781928366439
